band_name,original_city_label,musicbrainz_id,origin_confidence,origin_evidence_url,editorial_review_flag,spotify_url,spotify_match_name,selection_source,notes
Atomic Kitten,Liverpool,6fda00c2-449a-4bf4-838f-038d41a07c73,high,https://musicbrainz.org/artist/6fda00c2-449a-4bf4-838f-038d41a07c73,TRUE,,,agent_addition,Formally eligible group; pop editorial review.
Orchestral Manoeuvres in the Dark,Liverpool,6d072aa8-c851-49c5-92f9-cbca05f4bed9,high,https://musicbrainz.org/artist/6d072aa8-c851-49c5-92f9-cbca05f4bed9,FALSE,https://open.spotify.com/artist/7wJ9NwdRWtN92NunmXuwBk,Orchestral Manoeuvres In The Dark,popularity_first_replacement,Formed in Meols within Liverpool FUA; replaces The Lightning Seeds after comparison with the audited popularity-first catalogue.
Kaiser Chiefs,Leeds,90218af4-4d58-4821-8d41-2ee295ebbe21,high,https://musicbrainz.org/artist/90218af4-4d58-4821-8d41-2ee295ebbe21,FALSE,,,existing_shortlist,
Soft Cell,Leeds,7fb50287-029d-47cc-825a-235ca28024b2,high,https://musicbrainz.org/artist/7fb50287-029d-47cc-825a-235ca28024b2,FALSE,,,existing_shortlist,
Alt-J,Leeds,fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,high,https://musicbrainz.org/artist/fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,FALSE,,,existing_shortlist,
Sisters of Mercy,Leeds,553d8166-27b0-49fe-b8e4-89a984e2c375,high,https://musicbrainz.org/artist/553d8166-27b0-49fe-b8e4-89a984e2c375,FALSE,,Sisters of Mercy,existing_shortlist,
The Wedding Present,Leeds,707622da-475f-48e1-905d-248718df6521,high,https://musicbrainz.org/artist/707622da-475f-48e1-905d-248718df6521,FALSE,,,existing_shortlist,
Yard Act,Leeds,c69af97b-4d3b-4f72-9746-829b6b9d5f88,high,https://musicbrainz.org/artist/c69af97b-4d3b-4f72-9746-829b6b9d5f88,FALSE,https://open.spotify.com/artist/2h3ooJn8m8X8cL2g1BZ1Rd,Yard Act,popularity_first_replacement,Replaces The Mission after comparison with the audited popularity-first catalogue.
Chumbawamba,Leeds,7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,medium,https://musicbrainz.org/artist/7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,FALSE,,,agent_addition,Retained provisionally in Leeds: accounts conflict between formation in Burnley and formation in the Armley squat in Leeds; exclusion does not change Leeds's ranks.
The Cult,Leeds,8846e4ff-0c19-4af2-872b-7a8dc7497f68,high,https://en.wikipedia.org/wiki/The_Cult,FALSE,https://open.spotify.com/artist/49DW3KvkyjHO35mK1JnSyS,The Cult,popularity_first_replacement,Wikipedia gives Bradford within Leeds FUA while MusicBrainz gives London; retained under the audited popularity-first decision and replaces The Mekons.
Gang of Four,Leeds,d8661c02-f423-4d72-8044-40ff05daf7a1,high,https://musicbrainz.org/artist/d8661c02-f423-4d72-8044-40ff05daf7a1,FALSE,,,agent_addition,
Nightmares on Wax,Leeds,b8c5cc4f-239f-4e02-b46f-b040b77c2030,high,https://musicbrainz.org/artist/b8c5cc4f-239f-4e02-b46f-b040b77c2030,FALSE,,,agent_addition,
Def Leppard,Sheffield,7249b899-8db8-43e7-9e6e-22f1e736024e,high,https://musicbrainz.org/artist/7249b899-8db8-43e7-9e6e-22f1e736024e,FALSE,,,existing_shortlist,
The Human League,Sheffield,7adaabfb-acfb-47bc-8c7c-59471c2f0db8,high,https://musicbrainz.org/artist/7adaabfb-acfb-47bc-8c7c-59471c2f0db8,FALSE,,,existing_shortlist,
Pulp,Sheffield,76b2e842-5e85-4c97-ab62-d5bc315595b5,high,https://musicbrainz.org/artist/76b2e842-5e85-4c97-ab62-d5bc315595b5,FALSE,,,existing_shortlist,
Arctic Monkeys,Sheffield,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,high,https://musicbrainz.org/artist/ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,FALSE,,,existing_shortlist,
Bring Me The Horizon,Sheffield,074e3847-f67f-49f9-81f1-8c8cea147e8e,high,https://musicbrainz.org/artist/074e3847-f67f-49f9-81f1-8c8cea147e8e,FALSE,,,existing_shortlist,
Thompson Twins,Sheffield,228af6b5-f691-4ed2-a63b-10cc6fcc1144,high,https://musicbrainz.org/artist/228af6b5-f691-4ed2-a63b-10cc6fcc1144,FALSE,,,agent_addition,
ABC,Sheffield,87199477-b0df-4ead-84ee-9b54b4abfc3d,high,https://musicbrainz.org/artist/87199477-b0df-4ead-84ee-9b54b4abfc3d,FALSE,https://open.spotify.com/artist/2s79xe5F6eUQkjwjww27Fh,ABC,agent_addition,
Moloko,Sheffield,2f94016a-3880-4d8c-9af9-0e197ee77189,high,https://musicbrainz.org/artist/2f94016a-3880-4d8c-9af9-0e197ee77189,FALSE,,,agent_addition,
The Last Shadow Puppets,Sheffield,8a3e1c4f-59a8-457a-826c-fe961419a8ae,high,https://musicbrainz.org/artist/8a3e1c4f-59a8-457a-826c-fe961419a8ae,FALSE,https://open.spotify.com/artist/2Z7UcsdweVlRbAk5wH5fsf,The Last Shadow Puppets,popularity_first_replacement,Replaces Heaven 17 after comparison with the audited popularity-first catalogue.
Ace,Sheffield,241a85e3-da78-437e-a511-c18c14792ccc,high,https://musicbrainz.org/artist/241a85e3-da78-437e-a511-c18c14792ccc,FALSE,https://open.spotify.com/artist/6QNkSI0c63lCTNXpHDBiqP,Ace,popularity_first_replacement,Replaces Cabaret Voltaire after comparison with the audited popularity-first catalogue.
Smokie,Bradford,165e2705-abf7-4f1b-8971-4ceed8769c4d,high,https://musicbrainz.org/artist/165e2705-abf7-4f1b-8971-4ceed8769c4d,FALSE,,,existing_shortlist,
The Negatives,Bradford,78e78c9a-55f3-4004-be23-9e8e94d639f9,high,https://musicbrainz.org/artist/78e78c9a-55f3-4004-be23-9e8e94d639f9,FALSE,https://open.spotify.com/artist/36dRY3CYXgYmxkJIxFssyh,The Negatives,eligibility_replacement,Replaces solo artist Kiki Dee in the independent scene-depth catalogue.
1919,Bradford,dca0d1d9-e9f6-439e-8567-96da7ada6611,high,https://musicbrainz.org/artist/dca0d1d9-e9f6-439e-8567-96da7ada6611,FALSE,,,eligibility_replacement,Replaces solo artist Tasmin Archer in the independent scene-depth catalogue.
Poppy Factory,Bradford,a4504460-7d64-4732-b929-657c407c6f84,high,https://musicbrainz.org/artist/a4504460-7d64-4732-b929-657c407c6f84,FALSE,https://open.spotify.com/artist/4NELcwVSl3zqJQHqjbDbHW,Poppy Factory,eligibility_replacement,Replaces Ivyrise because reliable biographies place Ivyrise's formation in Portsmouth.
The Passmore Sisters,Bradford,7439c49e-d9cd-4504-a640-70b33fda8888,medium,https://en.wikipedia.org/wiki/Passmore_Sisters,FALSE,,,eligibility_replacement,Replaces The Cult under a strict formation-origin rule.
New Model Army,Bradford,e60e1f0b-1e8c-45e7-9d4a-222db9cb34f7,high,https://musicbrainz.org/artist/e60e1f0b-1e8c-45e7-9d4a-222db9cb34f7,FALSE,,,agent_addition,
My Dying Bride,Bradford,2f04ad1f-9f97-41d0-a09c-59c40dfe9cd1,high,https://musicbrainz.org/artist/2f04ad1f-9f97-41d0-a09c-59c40dfe9cd1,FALSE,,,agent_addition,
The Southern Death Cult,Bradford,5df6c0a8-c744-4097-b3b4-bcf32b52eea5,high,https://musicbrainz.org/artist/5df6c0a8-c744-4097-b3b4-bcf32b52eea5,FALSE,https://open.spotify.com/artist/6GERoHMM4dUkN8Edm5mXXJ,The Southern Death Cult,agent_addition,Predecessor scene lineage to The Cult; The Cult itself is not counted.
Scars on 45,Bradford,c128319a-a151-41d5-9689-323e016d048b,high,https://musicbrainz.org/artist/c128319a-a151-41d5-9689-323e016d048b,FALSE,https://open.spotify.com/artist/5ltIfb6fKhN2sxGic1WRWy,Scars On 45,agent_addition,
Anti-System,Bradford,d6dcc614-4c72-4a0b-95dd-1bf5087abd85,high,https://musicbrainz.org/artist/d6dcc614-4c72-4a0b-95dd-1bf5087abd85,FALSE,https://open.spotify.com/artist/160NmOGDz8qBoB4LNpF5w4,Anti-System,agent_addition,
Massive Attack,Bristol,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,high,https://musicbrainz.org/artist/10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,FALSE,,,existing_shortlist,
Portishead,Bristol,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,high,https://musicbrainz.org/artist/8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,FALSE,,,existing_shortlist,
Smith & Mighty,Bristol,47cfcf6b-44d5-4a8d-ad12-47722c88468c,high,https://musicbrainz.org/artist/47cfcf6b-44d5-4a8d-ad12-47722c88468c,FALSE,,,eligibility_replacement,Replaces solo artist Tricky in the independent scene-depth catalogue.
Idles,Bristol,be465d4f-c28d-4ba1-94ab-ebaada7db8af,high,https://musicbrainz.org/artist/be465d4f-c28d-4ba1-94ab-ebaada7db8af,FALSE,,IDLES,existing_shortlist,
Kosheen,Bristol,4f4bda3c-d636-4135-b65a-6cc26bc75788,high,https://musicbrainz.org/artist/4f4bda3c-d636-4135-b65a-6cc26bc75788,FALSE,,,existing_shortlist,
The Pop Group,Bristol,4c9f194e-6235-475a-bf7b-2fd54a0879ec,high,https://musicbrainz.org/artist/4c9f194e-6235-475a-bf7b-2fd54a0879ec,FALSE,,,agent_addition,
Roni Size / Reprazent,Bristol,45e00f0f-f52b-4db8-a480-cf87b71c4800,high,https://musicbrainz.org/artist/45e00f0f-f52b-4db8-a480-cf87b71c4800,TRUE,,,agent_addition,Formally eligible named group; drum-and-bass editorial review.
Fuck Buttons,Bristol,f4640b20-b76b-40d3-9ffc-a38b6718b273,high,https://musicbrainz.org/artist/f4640b20-b76b-40d3-9ffc-a38b6718b273,FALSE,,,agent_addition,
Way Out West,Bristol,2c2a80cf-193d-4be6-992e-311428085474,high,https://musicbrainz.org/artist/2c2a80cf-193d-4be6-992e-311428085474,FALSE,,,agent_addition,
The Blue Aeroplanes,Bristol,935295a6-8b6c-4de6-819c-da5113dac8fc,high,https://musicbrainz.org/artist/935295a6-8b6c-4de6-819c-da5113dac8fc,FALSE,,,agent_addition,
Dog Is Dead,Nottingham,,high,https://en.wikipedia.org/wiki/Dog_Is_Dead,FALSE,https://open.spotify.com/artist/1XwRhEHqiCVgiEJQk66fyy,D.I.D,existing_shortlist,Corrects the known bad Spotify match only inside the independent scene-depth experiment.
London Grammar,Nottingham,4dbe08c1-b40a-43b3-ab89-210000bd8ab2,high,https://musicbrainz.org/artist/4dbe08c1-b40a-43b3-ab89-210000bd8ab2,FALSE,,,existing_shortlist,
Paper Lace,Nottingham,c62995d6-a622-43e0-ae11-12a0f8638deb,high,https://musicbrainz.org/artist/c62995d6-a622-43e0-ae11-12a0f8638deb,TRUE,,,eligibility_replacement,Replaces solo artist Jake Bugg in the independent scene-depth catalogue.
Ten Years After,Nottingham,73faa89a-ee00-4e40-b68e-80e4891dbc45,medium,https://nottsmusicarchive.com/ten-years-after/,FALSE,,,existing_shortlist,MusicBrainz lists London but Nottingham sources document the band's local roots and formation.
Sleaford Mods,Nottingham,09d8290b-6ada-422f-8ce3-19349fb1c15d,high,https://musicbrainz.org/artist/09d8290b-6ada-422f-8ce3-19349fb1c15d,FALSE,,,existing_shortlist,
Tindersticks,Nottingham,4306a798-e2f8-4192-9a45-2fd41cdae60c,high,https://musicbrainz.org/artist/4306a798-e2f8-4192-9a45-2fd41cdae60c,FALSE,https://open.spotify.com/artist/3dmSPhg0tdao8ePj4pySJ5,Tindersticks,agent_addition,
Six by Seven,Nottingham,5e2e050f-7280-464e-b251-0a1272c43300,high,https://musicbrainz.org/artist/5e2e050f-7280-464e-b251-0a1272c43300,FALSE,,,agent_addition,
Bent,Nottingham,0a77bec1-12ef-4caa-b36a-f533001fcd29,high,https://musicbrainz.org/artist/0a77bec1-12ef-4caa-b36a-f533001fcd29,FALSE,,,agent_addition,
Crazy P,Nottingham,45644225-982e-4b76-a529-d8f9688e9a7d,high,https://musicbrainz.org/artist/45644225-982e-4b76-a529-d8f9688e9a7d,FALSE,,,agent_addition,
Pitchshifter,Nottingham,fe8ab7ee-c664-4d44-aec1-5b58ae937a5c,high,https://musicbrainz.org/artist/fe8ab7ee-c664-4d44-aec1-5b58ae937a5c,FALSE,,,agent_addition,
